date,weeknum,currency,amount,reporting_currency,conversion_rate,converted_value
2025-01-06,202502,CHF,283946.5187954513,USD,1.0989674596284686,312047.98
2025-01-06,202502,CHF,283946.5187954513,EUR,1.0660045840115921,302688.29
2025-01-06,202502,EUR,1877090.8036509664,USD,1.03092189,1935134.0
2025-01-06,202502,EUR,1877090.8036509664,EUR,1.0,1877090.8
2025-01-06,202502,USD,3888246.5068428973,USD,1.0,3888246.51
2025-01-06,202502,GBP,1703006.621185907,EUR,1.2062317454164913,2054220.65
2025-01-06,202502,CHF,283946.5187954513,GBP,0.8837477472496643,250937.1
2025-01-06,202502,USD,3888246.5068428973,EUR,0.9700055937312575,3771620.86
2025-01-06,202502,GBP,1703006.621185907,USD,1.24353071,2117741.03
2025-01-06,202502,USD,3888246.5068428973,GBP,0.8041618851536043,3126779.64
